store,sku,amount
Nashua,DM1541,2628 KSH
Mombasa,DM1230,4119 KSH
Nairobi,DM1182,9368 KSH
Malindi,DM1210,4420 KSH
Naivasha,DM1724,7790 KSH
Malindi,DM1541,7739 KSH
Nakuru,DM1759,4839 KSH
Naivasha,DM1537,3358 KSH
Mombasa,DM1724,6672 KSH
Malindi,DM1786,2224 KSH
Nairobi,DM1537,5445 KSH
Mombasa,DM1786,4440 KSH
Nashua,DM1230,4527 KSH
Naivasha,DM1759,7290 KSH
Mombasa,DM1541,8874 KSH
Nairobi,DM1537,6062 KSH
Naivasha,DM1182,7771 KSH
Nairobi,DM1230,6192 KSH
Mombasa,DM1230,9130 KSH
Malindi,DM1230,9404 KSH
Naivasha,DM1230,3788 KSH
Nakuru,DM1786,7719 KSH
Nakuru,DM1537,2981 KSH
Nairobi,DM1786,6863 KSH
Nashua,DM1230,3297 KSH
Mombasa,DM1210,8644 KSH
Mombasa,DM1537,7812 KSH
Mombasa,DM1294,1132 KSH
Nairobi,DM1786,2247 KSH
Malindi,DM1759,3609 KSH
Nashua,DM1786,4513 KSH
Nairobi,DM1541,5280 KSH
Mombasa,DM1230,1536 KSH
Nairobi,DM1759,8453 KSH
Mombasa,DM1786,2280 KSH
Mombasa,DM1759,3417 KSH
Malindi,DM1786,9062 KSH
Mombasa,DM1759,7276 KSH
Mombasa,DM1786,8855 KSH
Mombasa,DM1210,8927 KSH
Nairobi,DM1294,7052 KSH
Naivasha,DM1210,2918 KSH
Nairobi,DM1537,3109 KSH
Malindi,DM1724,8410 KSH
Malindi,DM1759,9119 KSH
Malindi,DM1786,1900 KSH
Nakuru,DM1182,3142 KSH
Mombasa,DM1724,2351 KSH
Malindi,DM1182,6683 KSH
Malindi,DM1873,5659 KSH
Mombasa,DM1759,5199 KSH
Malindi,DM1537,2044 KSH
Mombasa,DM1537,1173 KSH
Nakuru,DM1182,9077 KSH
Nairobi,DM1182,4720 KSH
Nairobi,DM1541,8642 KSH
Mombasa,DM1182,7921 KSH
Mombasa,DM1759,2704 KSH
Mombasa,DM1294,8020 KSH
Nairobi,DM1294,7107 KSH
Nakuru,DM1210,8902 KSH
Nakuru,DM1537,8875 KSH
Nairobi,DM1210,5904 KSH
Nairobi,DM1537,9921 KSH
Nairobi,DM1230,5015 KSH
Nashua,DM1182,5344 KSH
Nakuru,DM1210,8331 KSH
Nakuru,DM1210,1727 KSH
Malindi,DM1724,6902 KSH
Naivasha,DM1230,6550 KSH
Mombasa,DM1210,2969 KSH
Mombasa,DM1182,8653 KSH
Nakuru,DM1537,5756 KSH
Malindi,DM1873,3344 KSH
Nairobi,DM1182,1172 KSH
Naivasha,DM1759,5943 KSH
Malindi,DM1724,1368 KSH
Mombasa,DM1210,9529 KSH
Nakuru,DM1294,3234 KSH
Naivasha,DM1294,1433 KSH
Nakuru,DM1724,1139 KSH
Naivasha,DM1294,9380 KSH
Mombasa,DM1724,7499 KSH
Nairobi,DM1759,7410 KSH
Nakuru,DM1537,4557 KSH
Mombasa,DM1294,1606 KSH
Nashua,DM1230,6109 KSH
Mombasa,DM1759,2400 KSH
Mombasa,DM1537,4661 KSH
Nairobi,DM1786,8562 KSH
Nashua,DM1541,5515 KSH
Malindi,DM1294,9151 KSH
Malindi,DM1759,3955 KSH
Nashua,DM1537,1911 KSH
Nairobi,DM1759,8396 KSH
Naivasha,DM1759,6143 KSH
Nashua,DM1724,7050 KSH
Nashua,DM1759,8130 KSH
Malindi,DM1759,3538 KSH
Mombasa,DM1759,6174 KSH
Nakuru,DM1724,6292 KSH
Malindi,DM1537,8393 KSH
Nairobi,DM1537,6139 KSH
Naivasha,DM1182,7523 KSH
Nairobi,DM1786,9609 KSH
Nashua,DM1537,6341 KSH
Nairobi,DM1786,2794 KSH
Nashua,DM1541,6836 KSH
Mombasa,DM1541,4380 KSH
Mombasa,DM1230,3097 KSH
Mombasa,DM1537,9460 KSH
Nashua,DM1537,6553 KSH
Nashua,DM1294,7991 KSH
Mombasa,DM1541,1087 KSH
Naivasha,DM1786,1651 KSH
Mombasa,DM1182,3251 KSH
Mombasa,DM1873,3009 KSH
Mombasa,DM1230,9371 KSH
Nairobi,DM1786,2430 KSH
Mombasa,DM1182,3574 KSH
Nashua,DM1182,9721 KSH
Nairobi,DM1294,5300 KSH
Nashua,DM1541,5357 KSH
Nashua,DM1786,9726 KSH
Mombasa,DM1230,9169 KSH
Nakuru,DM1873,6071 KSH
Nairobi,DM1786,2670 KSH
Nakuru,DM1210,8843 KSH
Nairobi,DM1724,9684 KSH
Nairobi,DM1724,8926 KSH
Nairobi,DM1541,8913 KSH
Nakuru,DM1541,2440 KSH
Nakuru,DM1724,6609 KSH
Mombasa,DM1182,4766 KSH
Naivasha,DM1537,8530 KSH
Mombasa,DM1541,2022 KSH
Nakuru,DM1537,6388 KSH
Nakuru,DM1873,9581 KSH
Nairobi,DM1294,7731 KSH
Nakuru,DM1182,9638 KSH
Mombasa,DM1786,1333 KSH
Mombasa,DM1873,1099 KSH
Nashua,DM1230,3299 KSH
Naivasha,DM1294,4930 KSH
Mombasa,DM1537,8496 KSH
Nairobi,DM1230,9719 KSH
Mombasa,DM1294,8277 KSH
Nairobi,DM1537,2083 KSH
Nairobi,DM1210,9254 KSH
Nashua,DM1230,8263 KSH
Nairobi,DM1210,2412 KSH
Mombasa,DM1786,9528 KSH
Nashua,DM1541,4671 KSH
Nashua,DM1294,7942 KSH
Nairobi,DM1759,7710 KSH
Nashua,DM1230,2458 KSH
Nashua,DM1873,4829 KSH
Mombasa,DM1759,4812 KSH
Naivasha,DM1724,4632 KSH
Malindi,DM1230,9690 KSH
Malindi,DM1294,2708 KSH
Malindi,DM1759,4022 KSH
Nairobi,DM1724,4425 KSH
Nakuru,DM1294,8190 KSH
Nairobi,DM1873,7757 KSH
Mombasa,DM1786,3621 KSH
Malindi,DM1759,4755 KSH
Mombasa,DM1182,6387 KSH
Mombasa,DM1230,9403 KSH
Mombasa,DM1541,4812 KSH
Nairobi,DM1786,9896 KSH
Nashua,DM1230,6316 KSH
Naivasha,DM1724,3816 KSH
Mombasa,DM1873,6316 KSH
Nashua,DM1724,1252 KSH
Mombasa,DM1541,9555 KSH
Nairobi,DM1541,7677 KSH
Malindi,DM1182,5216 KSH
Nakuru,DM1182,6526 KSH
Nairobi,DM1541,4256 KSH
Nakuru,DM1759,8906 KSH
Nairobi,DM1182,6061 KSH
Nashua,DM1759,2870 KSH
Mombasa,DM1182,5787 KSH
Malindi,DM1873,1094 KSH
Malindi,DM1873,5712 KSH
Malindi,DM1210,8312 KSH
Mombasa,DM1210,1473 KSH
Mombasa,DM1210,3621 KSH
Malindi,DM1230,8442 KSH
Nakuru,DM1294,4555 KSH
Naivasha,DM1230,5634 KSH
Nashua,DM1230,7606 KSH
Nairobi,DM1230,7150 KSH
Naivasha,DM1182,4220 KSH
Nairobi,DM1759,2390 KSH
Malindi,DM1210,8676 KSH
Nakuru,DM1873,3885 KSH
Nakuru,DM1786,3630 KSH
Malindi,DM1724,5010 KSH
Malindi,DM1873,6193 KSH
Nairobi,DM1541,6709 KSH
Nairobi,DM1182,9007 KSH
Mombasa,DM1724,4445 KSH
Malindi,DM1537,7657 KSH
Naivasha,DM1230,3190 KSH
Malindi,DM1230,6766 KSH
Nairobi,DM1230,4058 KSH
Nairobi,DM1786,8440 KSH
Mombasa,DM1230,3941 KSH
Malindi,DM1786,3577 KSH
Nashua,DM1759,5761 KSH
Naivasha,DM1724,5765 KSH
Nairobi,DM1230,3561 KSH
Mombasa,DM1230,3753 KSH
Nashua,DM1537,5531 KSH
Naivasha,DM1873,9585 KSH
Mombasa,DM1230,8374 KSH
Nashua,DM1873,2459 KSH
Naivasha,DM1210,1412 KSH
Naivasha,DM1537,3015 KSH
Malindi,DM1210,9025 KSH
Nairobi,DM1724,1333 KSH
Nakuru,DM1537,3137 KSH
Malindi,DM1182,7899 KSH
Naivasha,DM1294,4465 KSH
Nairobi,DM1873,3577 KSH
Nairobi,DM1182,7365 KSH
Nairobi,DM1210,7522 KSH
Nairobi,DM1537,5416 KSH
Nairobi,DM1724,5118 KSH
Nairobi,DM1759,3240 KSH
Nairobi,DM1759,1124 KSH
Nakuru,DM1724,7829 KSH
Nakuru,DM1230,5585 KSH
Mombasa,DM1210,2325 KSH
Naivasha,DM1182,3306 KSH
Naivasha,DM1786,2032 KSH
Nashua,DM1759,9202 KSH
Nairobi,DM1786,4668 KSH
Nashua,DM1873,8142 KSH
Nashua,DM1230,1704 KSH
Mombasa,DM1541,3418 KSH
Naivasha,DM1182,9120 KSH
Nairobi,DM1210,8716 KSH
Mombasa,DM1541,5372 KSH
Mombasa,DM1210,8338 KSH
Malindi,DM1294,2710 KSH
Malindi,DM1230,1844 KSH
Naivasha,DM1873,4666 KSH
Nashua,DM1210,6246 KSH
Malindi,DM1873,8040 KSH
Nairobi,DM1541,9092 KSH
Nairobi,DM1537,9644 KSH
Mombasa,DM1786,6207 KSH
Naivasha,DM1182,3367 KSH
Nakuru,DM1294,6709 KSH
Nairobi,DM1724,5991 KSH
Nashua,DM1537,4007 KSH
Nairobi,DM1786,6275 KSH
Nairobi,DM1786,8152 KSH
Mombasa,DM1294,2792 KSH
Malindi,DM1541,8802 KSH
Nairobi,DM1537,7755 KSH
Mombasa,DM1724,5518 KSH
Mombasa,DM1724,2226 KSH
Mombasa,DM1759,8880 KSH
Malindi,DM1759,9848 KSH
Nairobi,DM1873,5001 KSH
Nakuru,DM1786,5519 KSH
Mombasa,DM1873,9995 KSH
Nairobi,DM1182,3422 KSH
Naivasha,DM1294,7417 KSH
Nashua,DM1182,3420 KSH
Nakuru,DM1759,1632 KSH
Naivasha,DM1294,3077 KSH
Mombasa,DM1873,4123 KSH
Nashua,DM1541,4902 KSH
Naivasha,DM1537,6487 KSH
Malindi,DM1294,3491 KSH
Nairobi,DM1873,2337 KSH
Malindi,DM1230,8856 KSH
Malindi,DM1294,2688 KSH
Nairobi,DM1182,5166 KSH
Malindi,DM1541,3294 KSH
Naivasha,DM1873,6890 KSH
Mombasa,DM1541,2218 KSH
Nairobi,DM1294,8355 KSH
Malindi,DM1724,1018 KSH
Nairobi,DM1537,2059 KSH
Nairobi,DM1873,4895 KSH
Nairobi,DM1724,5088 KSH
Nairobi,DM1230,7664 KSH
Malindi,DM1724,3025 KSH
Nairobi,DM1873,1823 KSH
Nashua,DM1873,2542 KSH
Nashua,DM1294,6591 KSH
Nakuru,DM1786,3186 KSH
Nashua,DM1759,7776 KSH
Nakuru,DM1873,9931 KSH
Mombasa,DM1210,1921 KSH
Naivasha,DM1759,5972 KSH
Naivasha,DM1541,2173 KSH
Nairobi,DM1294,8459 KSH
Naivasha,DM1182,3779 KSH
Nairobi,DM1294,6122 KSH
Nairobi,DM1182,3129 KSH
Nairobi,DM1786,6144 KSH
Mombasa,DM1182,9277 KSH
Mombasa,DM1294,3893 KSH
Nairobi,DM1541,9469 KSH
Nashua,DM1873,8125 KSH
Nashua,DM1230,8540 KSH
Naivasha,DM1724,3906 KSH
Nairobi,DM1724,4584 KSH
Malindi,DM1182,8834 KSH
Mombasa,DM1759,7658 KSH
Nairobi,DM1759,8208 KSH
Nakuru,DM1873,8742 KSH
Nakuru,DM1786,2841 KSH
Malindi,DM1873,7980 KSH
Naivasha,DM1786,5240 KSH
Nairobi,DM1873,2044 KSH
Nairobi,DM1537,9701 KSH
Malindi,DM1786,3259 KSH
Nakuru,DM1786,7327 KSH
Nakuru,DM1294,2084 KSH
Nairobi,DM1182,4201 KSH
Nashua,DM1873,4293 KSH
Mombasa,DM1210,9835 KSH
Nairobi,DM1182,2147 KSH
Mombasa,DM1786,6939 KSH
Naivasha,DM1294,5825 KSH
Malindi,DM1786,4103 KSH
Mombasa,DM1182,7234 KSH
Nairobi,DM1230,2484 KSH
Nashua,DM1786,2300 KSH
Nashua,DM1541,1121 KSH
Mombasa,DM1537,7296 KSH
Nairobi,DM1210,8453 KSH
Nakuru,DM1182,2124 KSH
Nakuru,DM1786,1998 KSH
Mombasa,DM1537,7098 KSH
Malindi,DM1230,9672 KSH
Nairobi,DM1230,7625 KSH
Nairobi,DM1873,9135 KSH
Nairobi,DM1210,4315 KSH
Mombasa,DM1786,1413 KSH
Nairobi,DM1541,1011 KSH
Mombasa,DM1230,1453 KSH
Mombasa,DM1759,8544 KSH
Nairobi,DM1541,4007 KSH
Mombasa,DM1786,9833 KSH
Nairobi,DM1541,3705 KSH
Mombasa,DM1541,5396 KSH
Mombasa,DM1210,6477 KSH
Nairobi,DM1724,2354 KSH
Mombasa,DM1873,3514 KSH
Naivasha,DM1182,9065 KSH
Nakuru,DM1541,5956 KSH
Mombasa,DM1759,8509 KSH
Mombasa,DM1182,7535 KSH
Malindi,DM1230,9164 KSH
Mombasa,DM1294,1797 KSH
Naivasha,DM1786,1236 KSH
Nakuru,DM1230,1737 KSH
Nashua,DM1230,7716 KSH
Malindi,DM1541,6726 KSH
Nairobi,DM1182,9625 KSH
Nashua,DM1759,9564 KSH
Nairobi,DM1294,7294 KSH
Nairobi,DM1759,8571 KSH
Nakuru,DM1873,2951 KSH
Malindi,DM1294,6930 KSH
Malindi,DM1210,7763 KSH
Nashua,DM1786,5827 KSH
Mombasa,DM1210,6504 KSH
Nairobi,DM1786,2850 KSH
Malindi,DM1541,4087 KSH
Nairobi,DM1873,8468 KSH
Nairobi,DM1541,3634 KSH
Naivasha,DM1210,1381 KSH
Nairobi,DM1230,2931 KSH
Nairobi,DM1537,7651 KSH
Nakuru,DM1786,5182 KSH
Nashua,DM1294,4581 KSH
Nairobi,DM1537,4263 KSH
Naivasha,DM1210,3259 KSH
Malindi,DM1873,5182 KSH
Nairobi,DM1182,3843 KSH
Nashua,DM1759,9552 KSH
Nashua,DM1294,2631 KSH
Malindi,DM1230,9907 KSH
Nakuru,DM1230,1629 KSH
Nairobi,DM1210,5026 KSH
Mombasa,DM1230,1783 KSH
Nakuru,DM1759,2241 KSH
Mombasa,DM1786,4597 KSH
Malindi,DM1786,4316 KSH
Nairobi,DM1210,7279 KSH
Nashua,DM1759,8439 KSH
Mombasa,DM1294,7485 KSH
Nashua,DM1294,5470 KSH
Mombasa,DM1230,4849 KSH
Malindi,DM1541,3923 KSH
Nairobi,DM1759,6182 KSH
Malindi,DM1182,1392 KSH
Mombasa,DM1230,6469 KSH
Mombasa,DM1724,3983 KSH
Nakuru,DM1210,1424 KSH
Nashua,DM1182,1980 KSH
Mombasa,DM1541,2461 KSH
Mombasa,DM1537,6289 KSH
Mombasa,DM1230,6752 KSH
Mombasa,DM1294,2917 KSH
Nairobi,DM1759,2234 KSH
Nairobi,DM1210,1120 KSH
Nakuru,DM1537,4833 KSH
Mombasa,DM1724,1041 KSH
Naivasha,DM1210,6134 KSH
Nairobi,DM1873,8892 KSH
Nairobi,DM1759,6464 KSH
Nairobi,DM1230,7119 KSH
Nairobi,DM1230,8828 KSH
Mombasa,DM1230,3999 KSH
Mombasa,DM1182,3793 KSH
Nakuru,DM1759,2975 KSH
Nashua,DM1786,2705 KSH
Nakuru,DM1294,7314 KSH
Naivasha,DM1210,2754 KSH
Nairobi,DM1759,1251 KSH
Nashua,DM1873,3275 KSH
Nashua,DM1541,4089 KSH
Mombasa,DM1537,4861 KSH
Nairobi,DM1786,3817 KSH
Nairobi,DM1230,5768 KSH
Nairobi,DM1182,3394 KSH
Nairobi,DM1294,2937 KSH
Nairobi,DM1759,6881 KSH
Nakuru,DM1230,1960 KSH
Mombasa,DM1537,4964 KSH
Malindi,DM1873,2480 KSH
Naivasha,DM1230,1616 KSH
Mombasa,DM1786,3868 KSH
Nairobi,DM1541,2055 KSH
Nairobi,DM1759,4374 KSH
Nairobi,DM1541,6082 KSH
Mombasa,DM1759,5132 KSH
Nakuru,DM1759,7487 KSH
Malindi,DM1759,3430 KSH
Mombasa,DM1759,4799 KSH
Nairobi,DM1786,8430 KSH
Nashua,DM1541,8849 KSH
Nakuru,DM1182,9803 KSH
Malindi,DM1294,9387 KSH
Malindi,DM1786,3440 KSH
Nashua,DM1294,5898 KSH
Mombasa,DM1873,7721 KSH
Mombasa,DM1294,7621 KSH
Nashua,DM1759,1705 KSH
Naivasha,DM1724,8033 KSH
Nairobi,DM1537,9552 KSH
Nairobi,DM1294,2057 KSH
Naivasha,DM1724,5675 KSH
Nairobi,DM1210,1368 KSH
Nairobi,DM1537,1659 KSH
Naivasha,DM1210,1551 KSH
Naivasha,DM1537,8060 KSH
Nashua,DM1873,5890 KSH
Mombasa,DM1541,6504 KSH
Mombasa,DM1294,7061 KSH
Nairobi,DM1786,6082 KSH
Nairobi,DM1537,4707 KSH
Mombasa,DM1294,7226 KSH
Nakuru,DM1182,8376 KSH
Nairobi,DM1873,2273 KSH
Nairobi,DM1759,3599 KSH
Nairobi,DM1541,3998 KSH
Nashua,DM1537,7242 KSH
Nakuru,DM1724,8881 KSH
Nashua,DM1873,8843 KSH
Nakuru,DM1724,8559 KSH
Mombasa,DM1537,1841 KSH
Mombasa,DM1210,5942 KSH
Nakuru,DM1537,6674 KSH
Mombasa,DM1230,5870 KSH
Nairobi,DM1210,8413 KSH
Nashua,DM1786,1109 KSH
Mombasa,DM1537,6670 KSH
Mombasa,DM1724,8208 KSH
Malindi,DM1537,9847 KSH
Malindi,DM1537,3985 KSH
Nairobi,DM1786,5573 KSH
Nairobi,DM1210,2472 KSH
Naivasha,DM1210,2142 KSH
Nakuru,DM1724,4100 KSH
Naivasha,DM1230,5800 KSH
Nakuru,DM1182,4336 KSH
Nakuru,DM1759,6092 KSH
Nairobi,DM1759,2825 KSH
Mombasa,DM1182,3047 KSH
Mombasa,DM1759,9264 KSH
Nakuru,DM1537,3378 KSH
Nashua,DM1873,3675 KSH
Naivasha,DM1786,4941 KSH
Mombasa,DM1541,1070 KSH
Mombasa,DM1182,6062 KSH
Naivasha,DM1294,9394 KSH
Nakuru,DM1724,3240 KSH
Nairobi,DM1210,8293 KSH
Nairobi,DM1294,2278 KSH
Malindi,DM1786,2423 KSH
Malindi,DM1210,9751 KSH
Mombasa,DM1294,6145 KSH
Malindi,DM1724,4519 KSH
Nashua,DM1182,3057 KSH
Nairobi,DM1230,4467 KSH
Malindi,DM1182,2299 KSH
Naivasha,DM1210,1562 KSH
Naivasha,DM1873,8404 KSH
Nairobi,DM1724,1552 KSH
Malindi,DM1786,9499 KSH
Mombasa,DM1759,5305 KSH
Naivasha,DM1786,6958 KSH
Malindi,DM1541,9384 KSH
Nairobi,DM1786,4529 KSH
Nashua,DM1182,9597 KSH
Nairobi,DM1759,1052 KSH
Nairobi,DM1294,1547 KSH
Nairobi,DM1294,5755 KSH
Malindi,DM1724,1301 KSH
Mombasa,DM1873,6384 KSH
Mombasa,DM1230,5505 KSH
Nairobi,DM1759,5428 KSH
Nairobi,DM1230,4125 KSH
Mombasa,DM1230,2027 KSH
Mombasa,DM1537,7900 KSH
Nairobi,DM1182,4700 KSH
Malindi,DM1182,8753 KSH
Nairobi,DM1294,8243 KSH
Mombasa,DM1294,3655 KSH
Nairobi,DM1724,9462 KSH
Nashua,DM1182,5678 KSH
Naivasha,DM1759,5678 KSH
Mombasa,DM1230,9419 KSH
Naivasha,DM1724,5212 KSH
Nashua,DM1537,4870 KSH
Nairobi,DM1541,9766 KSH
Nakuru,DM1182,5747 KSH
Mombasa,DM1786,7911 KSH
Mombasa,DM1541,3152 KSH
Naivasha,DM1541,1795 KSH
Mombasa,DM1230,6536 KSH
Nairobi,DM1230,9959 KSH
Malindi,DM1537,7525 KSH
Nairobi,DM1210,7263 KSH
Nashua,DM1182,7116 KSH
Nakuru,DM1182,4884 KSH
Nairobi,DM1724,6758 KSH
Malindi,DM1786,7996 KSH
Mombasa,DM1873,8356 KSH
Nashua,DM1541,5801 KSH
Nakuru,DM1759,5988 KSH
Nairobi,DM1294,2660 KSH
Nairobi,DM1210,7133 KSH
Nairobi,DM1873,5242 KSH
Nashua,DM1759,3706 KSH
Nakuru,DM1873,1206 KSH
Mombasa,DM1182,7485 KSH
Nairobi,DM1182,8708 KSH
Nairobi,DM1759,1258 KSH
Nairobi,DM1541,1465 KSH
Naivasha,DM1210,4111 KSH
Nairobi,DM1873,1285 KSH
Mombasa,DM1230,6900 KSH
Nakuru,DM1537,1916 KSH
Mombasa,DM1759,6418 KSH
Nairobi,DM1541,7796 KSH
Mombasa,DM1786,2238 KSH
Naivasha,DM1210,7195 KSH
Malindi,DM1537,3990 KSH
Nashua,DM1759,8262 KSH
Nairobi,DM1294,9552 KSH
Nairobi,DM1537,2458 KSH
Nairobi,DM1182,6575 KSH
Mombasa,DM1294,5880 KSH
Nairobi,DM1182,5127 KSH
Mombasa,DM1786,1532 KSH
Naivasha,DM1786,8989 KSH
Mombasa,DM1294,5733 KSH
Nakuru,DM1541,5756 KSH
Nashua,DM1724,7929 KSH
Nakuru,DM1759,6998 KSH
Nairobi,DM1294,1484 KSH
Nashua,DM1759,5719 KSH
Nakuru,DM1210,9585 KSH
Mombasa,DM1759,4379 KSH
Nashua,DM1759,4848 KSH
Malindi,DM1759,1825 KSH
Nairobi,DM1724,2586 KSH
Mombasa,DM1724,7973 KSH
Naivasha,DM1759,4902 KSH
Nairobi,DM1182,2948 KSH
Naivasha,DM1537,9562 KSH
Mombasa,DM1873,8548 KSH
Nairobi,DM1294,1309 KSH
Nairobi,DM1541,7189 KSH
Nairobi,DM1786,1721 KSH
Nashua,DM1230,3222 KSH
Mombasa,DM1182,6953 KSH
Malindi,DM1759,4993 KSH
Naivasha,DM1182,5710 KSH
Mombasa,DM1294,2586 KSH
Nairobi,DM1294,9684 KSH
Malindi,DM1873,3392 KSH
Naivasha,DM1786,4918 KSH
Naivasha,DM1786,7079 KSH
Nashua,DM1541,6514 KSH
Nairobi,DM1230,3013 KSH
Nashua,DM1230,8802 KSH
Malindi,DM1210,8826 KSH
Nashua,DM1182,6537 KSH
Nashua,DM1786,5944 KSH
Mombasa,DM1873,4612 KSH
Malindi,DM1294,6468 KSH
Mombasa,DM1759,5904 KSH
Mombasa,DM1724,2027 KSH
Malindi,DM1541,7894 KSH
Naivasha,DM1537,7260 KSH
Nashua,DM1230,1315 KSH
Nairobi,DM1873,1465 KSH
Mombasa,DM1759,3986 KSH
Mombasa,DM1873,9926 KSH
Mombasa,DM1537,6820 KSH
Malindi,DM1541,5948 KSH
Nakuru,DM1294,6296 KSH
Malindi,DM1724,5791 KSH
Nairobi,DM1182,1713 KSH
Malindi,DM1230,4354 KSH
Mombasa,DM1182,5280 KSH
Naivasha,DM1294,6129 KSH
Naivasha,DM1873,6421 KSH
Mombasa,DM1210,4222 KSH
Mombasa,DM1294,6623 KSH
Naivasha,DM1541,7440 KSH
Nashua,DM1537,3107 KSH
Nakuru,DM1541,8332 KSH
Nairobi,DM1541,7273 KSH
Nairobi,DM1873,5199 KSH
Mombasa,DM1230,8720 KSH
Mombasa,DM1294,8563 KSH
Nakuru,DM1724,6699 KSH
Mombasa,DM1182,9761 KSH
Malindi,DM1230,9672 KSH
Nairobi,DM1786,8036 KSH
Malindi,DM1873,3592 KSH
Mombasa,DM1182,1047 KSH
Naivasha,DM1541,5230 KSH
Nakuru,DM1873,3309 KSH
Nairobi,DM1182,9722 KSH
Nairobi,DM1724,3710 KSH
Naivasha,DM1230,1542 KSH
Malindi,DM1537,9608 KSH
Nairobi,DM1294,2694 KSH
Mombasa,DM1294,4186 KSH
Mombasa,DM1724,2839 KSH
Mombasa,DM1786,7064 KSH
Mombasa,DM1294,5008 KSH
Naivasha,DM1759,6769 KSH
Mombasa,DM1873,9199 KSH
Naivasha,DM1724,3435 KSH
Nairobi,DM1873,3588 KSH
Nakuru,DM1759,6513 KSH
Nakuru,DM1210,4425 KSH
Nakuru,DM1724,3903 KSH
Mombasa,DM1873,8116 KSH
Nairobi,DM1759,4209 KSH
Nairobi,DM1537,4102 KSH
Mombasa,DM1724,5351 KSH
Malindi,DM1786,8997 KSH
Nairobi,DM1537,8278 KSH
Mombasa,DM1759,6472 KSH
Mombasa,DM1182,6815 KSH
Nairobi,DM1230,9666 KSH
Nakuru,DM1294,9235 KSH
Malindi,DM1724,9405 KSH
Nairobi,DM1294,5053 KSH
Mombasa,DM1230,4203 KSH
Nairobi,DM1210,3727 KSH
Malindi,DM1541,1801 KSH
Naivasha,DM1294,9378 KSH
Nairobi,DM1759,6981 KSH
Nashua,DM1541,1002 KSH
Malindi,DM1230,3686 KSH
Nairobi,DM1541,6863 KSH
Nashua,DM1210,7783 KSH
Nakuru,DM1210,5892 KSH
Nairobi,DM1537,9406 KSH
Nairobi,DM1724,7584 KSH
Nakuru,DM1759,5848 KSH
Naivasha,DM1873,9835 KSH
Nairobi,DM1210,6623 KSH
Nakuru,DM1537,3076 KSH
Malindi,DM1759,1969 KSH
Nairobi,DM1210,9546 KSH
Naivasha,DM1230,2074 KSH
Nashua,DM1210,9573 KSH
Mombasa,DM1537,9646 KSH
Naivasha,DM1786,9141 KSH
Nairobi,DM1724,6611 KSH
Nairobi,DM1541,3812 KSH
Malindi,DM1294,9693 KSH
Naivasha,DM1873,8431 KSH
Nashua,DM1537,4378 KSH
Nakuru,DM1537,7314 KSH
Nairobi,DM1786,1296 KSH
Naivasha,DM1294,9493 KSH
Nairobi,DM1210,7051 KSH
Nairobi,DM1182,4895 KSH
Nashua,DM1210,6469 KSH
Mombasa,DM1294,9779 KSH
Nakuru,DM1537,1709 KSH
Nairobi,DM1537,5952 KSH
Naivasha,DM1724,6376 KSH
Mombasa,DM1294,5767 KSH
Mombasa,DM1724,6258 KSH
Mombasa,DM1759,7999 KSH
Nashua,DM1786,2383 KSH
Naivasha,DM1541,7855 KSH
Naivasha,DM1759,7602 KSH
Malindi,DM1541,9898 KSH
Malindi,DM1873,7586 KSH
Mombasa,DM1541,3416 KSH
Mombasa,DM1230,1352 KSH
Mombasa,DM1294,4904 KSH
Mombasa,DM1759,6515 KSH
Mombasa,DM1873,4158 KSH
Nakuru,DM1210,2511 KSH
Mombasa,DM1294,9268 KSH
Nairobi,DM1537,7717 KSH
Nashua,DM1786,6982 KSH
Nashua,DM1182,1404 KSH
Mombasa,DM1210,8063 KSH
Nakuru,DM1230,5607 KSH
Nairobi,DM1541,1905 KSH
Nakuru,DM1786,5673 KSH
Nashua,DM1230,8913 KSH
Mombasa,DM1537,7566 KSH
Malindi,DM1182,7643 KSH
Nashua,DM1873,1310 KSH
Nakuru,DM1537,9662 KSH
Mombasa,DM1724,8656 KSH
Mombasa,DM1182,3830 KSH
Mombasa,DM1210,2939 KSH
Nairobi,DM1759,3130 KSH
Mombasa,DM1541,4778 KSH
Naivasha,DM1786,8144 KSH
Mombasa,DM1294,9582 KSH
Nairobi,DM1294,9797 KSH
Naivasha,DM1541,9697 KSH
Mombasa,DM1182,6900 KSH
Nairobi,DM1210,4604 KSH
Naivasha,DM1541,9013 KSH
Nakuru,DM1230,8529 KSH
Malindi,DM1786,2603 KSH
Nairobi,DM1724,5735 KSH
Naivasha,DM1230,8863 KSH
Malindi,DM1759,7197 KSH
Naivasha,DM1537,2866 KSH
Nashua,DM1786,6381 KSH
Nashua,DM1541,1380 KSH
Naivasha,DM1294,5583 KSH
Nakuru,DM1724,1748 KSH
Naivasha,DM1294,2954 KSH
Mombasa,DM1294,4242 KSH
Nairobi,DM1294,2713 KSH
Naivasha,DM1759,4273 KSH
Nakuru,DM1786,1893 KSH
Mombasa,DM1537,3851 KSH
Nashua,DM1759,7704 KSH
Nakuru,DM1759,4749 KSH
Nakuru,DM1786,6421 KSH
Nakuru,DM1230,2250 KSH
Naivasha,DM1786,3274 KSH
Mombasa,DM1537,4492 KSH
Naivasha,DM1786,5350 KSH
Nairobi,DM1182,3003 KSH
Nashua,DM1294,2433 KSH
